device_name,device_id,up_time,location
Device_1,03d73332-f4aa-4b0a-8ee0-1d07a4fb421d,99.878,Phoenix
Device_2,07a0f445-6413-41d8-a5fa-518bf520529e,99.595,Chicago
Device_3,61568d58-5c66-49c5-b99f-769c3a9e915a,99.937,San Jose
Device_4,e5925040-c8d6-4a6b-84e8-cf51ae0abe46,99.969,San Antonio
Device_5,8aab168a-9356-4c87-8a62-359e7a97eda9,99.67,San Diego
Device_6,e99b83b7-dd6d-473a-96e7-23d4df7a5e23,99.736,Philadelphia
Device_7,bc14f9e2-d3d3-4d20-8273-ded1981e46b7,99.631,San Antonio
Device_8,72eb7e29-32f0-42d6-a084-f19f0bc027c1,99.95,Houston
Device_9,341481e9-1a48-461e-8189-ae044fb0040e,99.521,Dallas
Device_10,8a7569ec-7e2b-4be0-b5fc-2ce419992268,99.854,New York
Device_11,59e16920-675f-4a29-acd5-e0113a921367,99.58,Los Angeles
Device_12,09eb5e30-f93f-4d46-9d2b-a7a7a7e808f1,99.67,Los Angeles
Device_13,37c880d7-8808-434b-a68e-11720ea0d864,99.629,Phoenix
Device_14,0f33061c-e9e0-4aec-98f0-6990852ffc5d,99.975,Chicago
Device_15,11a6ee79-dc22-4a09-8d36-6b42b3d684ff,99.98,Los Angeles
Device_16,a82e8eb4-f965-4ea2-83a7-fe893e8cc6e2,99.597,San Antonio
Device_17,2230a146-b6e8-48eb-a9b2-a924f92feabc,99.821,New York
Device_18,ac16957b-5ab2-4020-a225-2ebe6362d2dc,99.509,Los Angeles
Device_19,660b4861-ca4f-4d25-b5cd-63441a6c8249,99.57,San Diego
Device_20,67886a57-cccf-495f-a00c-cebc2e078ccc,99.972,San Diego
Device_21,6f06cb7f-96cc-4079-8b07-34e7d6a63067,99.556,Houston
Device_22,6e08e9a5-42cd-4e64-b151-c66ca30e411b,99.8,Dallas
Device_23,ebde7c8c-06b6-4ba9-9b85-41da686d266f,99.825,San Antonio
Device_24,2275e647-8ffb-4a74-bf4b-e634483933dc,99.735,Dallas
